"party_id","party_name","issue_slug","issue_label","question","stance","stance_he","evidence","source_count","source_type","source_tier","source_date","source_url","verified"
"noam","נעם לישראל","yeshiva-budgets","תקציבי הישיבות והחינוך החרדי","האם יש להגדיל את התקציבים לישיבות ולמוסדות החינוך החרדי?","1","בעד","sourced","2","leader","said","2026-08-11","https://www.kikar.co.il/interviews/tjlktt","2026-09-07"
"noam","נעם לישראל","nation-state-law","סעיף שוויון בחוק הלאום","האם צריך להוסיף לחוק הלאום סעיף שקובע שכל אזרחי ישראל שווים?","0","נגד","sourced","1","vote","doc","2024-07-10","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2211338","2026-09-07"
"noam","נעם לישראל","temple-mount","תפילת יהודים בהר הבית","האם יש לאפשר תפילת יהודים בהר הבית, גם אם המשמעות היא שינוי הסטטוס-קוו?","0","נגד","sourced","2","leader","said","2025-07-31","https://www.inn.co.il/news/675407","2026-09-07"
"noam","נעם לישראל","settlements","הרחבת ההתנחלויות","האם יש להרחיב את ההתנחלויות ביהודה ושומרון?","1","בעד","sourced","4","vote","doc","2025-10-22","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2230789","2026-09-07"
"noam","נעם לישראל","term-limits","הגבלת כהונת ראש הממשלה","האם צריך לקבוע בחוק הגבלה על מספר השנים שראש ממשלה יכול לכהן?","0","נגד","sourced","1","vote","doc","2026-01-14","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2203407","2026-09-07"
"noam","נעם לישראל","benefits-for-service","התניית הטבות בשירות צבאי או אזרחי","האם יש להתנות הטבות ממשלתיות (כמו הנחות ומענקים) בשירות צבאי או אזרחי?","0","נגד","sourced","1","leader","said","2026-09-02","https://www.srugim.co.il/101010173-%D7%90%D7%91%D7%99-%D7%9E%D7%A2%D7%95%D7%96-%D7%90%D7%A0%D7%99-%D7%A9%D7%95%D7%95%D7%94-2-%D7%9E%D7%A0%D7%93%D7%98%D7%99%D7%9D","2026-09-07"
"noam","נעם לישראל","housing","התערבות ממשלתית בשוק הדיור","האם על הממשלה להתערב באופן פעיל בשוק הדיור: פיקוח, סבסוד ודיור ציבורי?","0.5","עמדה חלקית","documented_silence","0","","","","",""
"noam","נעם לישראל","lgbt-equality","שוויון זכויות לקהילה הלהט""בית","האם יש לעגן בחוק שוויון זכויות מלא לקהילת הלהט""ב, כולל הכרה בזוגיות?","0","נגד","sourced","2","leader","said","2022-12-01","https://www.inn.co.il/news/584653","2026-09-07"
"noam","נעם לישראל","saudi-normalization","ויתורים לפלסטינים תמורת שלום עם סעודיה","האם כדאי לישראל לוותר לפלסטינים, למשל להקפיא בנייה בהתנחלויות, כדי להשיג הסכם שלום עם ערב הסעודית?","0","נגד","sourced","2","leader","said","2026-04-20","https://www.c14.co.il/article/1530539","2026-09-07"
"noam","נעם לישראל","universal-service","חובת שירות לכלל האזרחים","האם יש להנהיג חובת שירות, צבאי או אזרחי, לכלל אזרחי ישראל, כולל חרדים וערבים?","0","נגד","sourced","2","leader","said","2026-08-11","https://www.kikar.co.il/interviews/tjlktt","2026-09-07"
"noam","נעם לישראל","haredi-coalition","חרדים בקואליציה ללא חוק גיוס","האם לגיטימי לצרף את המפלגות החרדיות לקואליציה גם ללא הסכמה מראש על חוק גיוס?","1","בעד","sourced","2","leader","said","2026-08-11","https://www.kikar.co.il/interviews/tjlktt","2026-09-07"
"noam","נעם לישראל","arab-coalition","מפלגות ערביות בקואליציה","האם לגיטימי לצרף מפלגות ערביות לקואליציה ולממשלה?","0","נגד","sourced","2","leader","said","2026-08-06","https://www.c14.co.il/article/1650804","2026-09-07"
"kachol","כחול לבן","palestinian-state","מדינה פלסטינית","האם יש להקים מדינה פלסטינית לצד ישראל במסגרת הסדר עתידי?","0","נגד","sourced","2","leader","said","2025-05-08","https://www.makorrishon.co.il/news/settlement/article/163564","2026-09-07"
"kachol","כחול לבן","death-penalty","עונש מוות למחבלים","האם יש לחוקק בישראל עונש מוות למחבלים?","0","נגד","sourced","3","vote","doc","2026-03-30","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2199298","2026-09-07"
"kachol","כחול לבן","haredi-draft","גיוס חרדים","האם יש לחוקק חוק המחייב גיוס בחורי ישיבה חרדים, כולל סנקציות אישיות על משתמטים?","1","בעד","sourced","2","leader","said","2026-08-17","https://www.israelhayom.co.il/news/geopolitics/article/21215389","2026-09-07"
"kachol","כחול לבן","judicial-reform","הרפורמה המשפטית והגבלת בג""ץ","האם יש להגביל את סמכויות בג""ץ ולחזק את כוחן של הכנסת והממשלה (ברוח הרפורמה המשפטית)?","0","נגד","sourced","4","vote","doc","2023-07-11","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2207472","2026-09-07"
"kachol","כחול לבן","oct7-inquiry","ועדת חקירה ממלכתית ל-7 באוקטובר","האם יש להקים מיד ועדת חקירה ממלכתית לאירועי 7 באוקטובר?","1","בעד","sourced","4","vote","doc","2026-07-01","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2236693","2026-09-07"
"kachol","כחול לבן","religion-state","תחבורה ציבורית בשבת ונישואים אזרחיים","האם יש להפעיל תחבורה ציבורית בשבת ולהנהיג נישואים אזרחיים בישראל?","1","בעד","sourced","4","vote","doc","2025-11-19","https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2200707","2026-09-07"
"kachol","כחול לבן","gaza-control","שליטה ביטחונית בעזה","האם צה""ל צריך להמשיך לשלוט ביטחונית ברצועת עזה גם בשנים הקרובות?","1","בעד","sourced","2","leader","said","2026-08-27","https://news.walla.co.il/item/3863654","2026-09-07"
"kachol","כחול לבן","lower-taxes","הורדת מסים מול שירותים לאזרח","האם צריך להוריד מסים, גם אם המשמעות היא שהמדינה תספק פחות שירותים לאזרח?","0.5","עמדה חלקית","sourced","1","leader","said","2026-08-17","https://www.israelhayom.co.il/news/geopolitics/article/21215389","2026-09-07"
